ID,ground_truth_label,mapa_default_label,mapa_optimized_label,paver_default_label,paver_optimized_label,apear_default_cluster,apear_optimized_cluster,enrichplot_default_cluster,enrichplot_optimized_cluster
GO:0032757,2,42,59,5,11,114,96,8,61
GO:1900017,2,42,59,5,11,278,215,6,66
GO:0032682,1,5,60,7,14,103,94,15,48
GO:0034104,44,5,60,7,38,119,104,14,53
GO:0046621,44,5,60,4,30,197,168,9,9
GO:0050805,40,5,60,6,45,217,90,13,33
GO:0120163,44,5,60,5,58,271,222,6,58
GO:1903523,44,5,60,5,32,288,234,1,54
GO:0035459,6,25,61,1,51,132,114,14,58
GO:0048208,47,25,61,1,51,207,176,6,66
GO:0048268,47,25,61,1,51,209,178,9,21
GO:0035458,50,6,62,5,13,131,113,13,44
GO:0071346,50,6,62,5,13,248,207,11,45
GO:0071353,50,6,62,5,13,249,199,15,34
GO:0071354,50,6,62,5,13,250,20,2,51
GO:0097398,50,6,62,5,13,263,215,12,37
GO:0045730,13,28,63,8,53,181,154,7,66
GO:0043123,57,42,64,5,52,154,131,10,5
GO:0046330,30,42,64,5,52,195,166,10,71
GO:1901224,57,42,64,5,52,283,230,5,56
GO:0035094,28,6,65,8,31,126,53,9,64
GO:0042220,55,6,65,8,31,147,126,4,38
GO:0071731,55,6,65,8,31,253,210,12,21
GO:0033198,55,6,66,8,31,117,102,17,26
GO:0045472,55,6,66,8,31,170,144,11,38
GO:0046677,28,6,66,8,53,200,171,2,40
GO:0046685,28,6,66,8,53,201,172,1,1
GO:1902074,28,6,66,8,31,286,172,16,67
GO:0046033,15,23,67,2,54,190,162,9,72
GO:0046037,15,23,67,2,54,191,162,5,72
GO:0046039,15,23,67,2,54,192,163,12,64
GO:0046058,15,23,67,2,54,193,164,6,64
GO:0046068,15,23,67,2,54,194,165,11,56
GO:0036503,28,23,68,6,22,137,118,3,50
GO:0036297,5,10,69,2,18,136,117,9,63
GO:0034605,26,6,70,8,31,124,107,16,25
GO:0071276,49,6,70,8,53,39,37,12,32
GO:0071277,49,6,70,8,53,247,206,14,65
GO:0071280,49,6,70,8,53,39,37,4,32
GO:0071294,49,6,70,8,53,39,37,7,32
GO:0097501,7,6,70,8,53,39,37,7,32
GO:0046597,31,29,71,7,49,196,167,13,31
GO:0032330,33,14,72,4,46,100,91,9,60
GO:1901532,33,14,72,4,46,284,231,2,41
GO:1905207,33,14,72,4,46,291,235,4,45
GO:2000736,33,14,72,4,46,296,231,3,41
GO:2001014,33,14,72,4,46,297,238,9,24
GO:0061909,21,23,73,1,3,242,203,12,60
GO:0090382,8,23,73,1,3,259,212,7,33
GO:0097352,21,23,73,1,3,243,57,8,73
GO:0061952,46,33,74,1,57,243,57,3,73
GO:0090148,46,35,74,1,57,257,57,3,73
GO:0051209,20,6,75,8,25,222,175,3,2
GO:0051965,45,42,76,6,56,228,191,17,10
GO:0150052,45,41,76,6,56,275,225,3,52
GO:1904889,45,41,76,6,56,290,191,14,29
GO:1905606,45,41,76,6,56,292,219,13,39
GO:0120009,46,37,77,1,21,269,220,15,34
